	geometric_mean_score	specificity_score	f1_score	accuracy_score
ecoli-0_vs_1	0.99	0.97	0.99	0.99
ecoli1	0.85	0.92	0.77	0.89
ecoli2	0.85	0.98	0.79	0.94
ecoli3	0.71	0.97	0.59	0.92
glass-0-1-2-3_vs_4-5-6	0.91	0.96	0.87	0.94
glass0	0.85	0.91	0.8	0.87
glass1	0.76	0.9	0.7	0.81
glass6	0.91	0.97	0.85	0.96
haberman	0.49	0.82	0.33	0.69
iris0	1.0	1.0	1.0	1.0
new-thyroid1	0.93	0.99	0.9	0.97
newthyroid2	0.93	0.98	0.9	0.97
pima	0.7	0.84	0.63	0.76
vehicle0	0.95	0.97	0.92	0.96
vehicle1	0.65	0.88	0.53	0.78
vehicle2	0.97	0.98	0.95	0.98
vehicle3	0.63	0.92	0.52	0.8
wisconsin	0.96	0.97	0.95	0.97
yeast1	0.65	0.88	0.55	0.77
yeast3	0.88	0.97	0.78	0.95
