	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi1_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
G-mean	[]	[]	[]	[]	[]
F1	[]	[]	[]	[]	[]
BAC	[]	[]	[]	[]	[]
Precision	[]	[]	[]	[]	[]
Recall	[]	[]	[]	[]	[]
Specificity	[]	[5]	[]	[]	[]
