	NBBag_k3_fi1_euclidean	NBBag_k5_fi1_euclidean	NBBag_k7_fi0.5_euclidean	NBBag_k3_fi2_chebyshev	NBBag_k5_fi2_chebyshev	NBBag_k7_fi2_chebyshev	NBBag_k9_fi2_chebyshev	NBBag_k11_fi2_chebyshev	NBBag_k7_fi1_chebyshev	NBBag_k7_fi1_cosine	NBBag_k7_fi1_euclidean	NBBag_k7_fi1_manhattan	NBBag_k7_fi1.5_euclidean	NBBag_k7_fi2_euclidean	NBBag_k9_fi1_euclidean	NBBag_k11_fi1_euclidean
G-mean	[]	[4]	[]	[]	[]	[10]	[]	[]	[4]	[]	[4]	[]	[]	[]	[4]	[4]
F1	[]	[4]	[]	[]	[]	[3, 4, 10]	[]	[]	[4]	[]	[]	[]	[]	[4]	[4]	[]
BAC	[]	[4]	[]	[]	[]	[4, 10]	[]	[]	[4]	[]	[4]	[]	[4]	[]	[4]	[4]
Precision	[]	[10]	[]	[]	[3, 10]	[10]	[3, 10]	[1, 3, 4, 10, 11, 12, 15, 16]	[10]	[]	[]	[]	[]	[3, 10]	[]	[]
Recall	[]	[4]	[]	[]	[]	[]	[]	[]	[4]	[]	[4, 13]	[]	[]	[]	[4, 13]	[4, 13]
Specificity	[]	[10]	[]	[]	[3, 10, 11, 16]	[3, 4, 10, 11, 15, 16]	[3, 10, 11, 15, 16]	[1, 2, 3, 4, 9, 10, 11, 12, 13, 15, 16]	[10]	[]	[]	[]	[10]	[3, 4, 10, 11, 15, 16]	[]	[]
