	G-mean	F1	BAC	Precision	Recall	Specificity
ecoli-0_vs_1	0.983	0.99	0.984	0.987	0.993	0.975
ecoli1	0.841	0.76	0.847	0.763	0.768	0.927
ecoli2	0.85	0.795	0.864	0.873	0.748	0.981
ecoli3	0.731	0.596	0.767	0.64	0.571	0.962
glass-0-1-2-3_vs_4-5-6	0.908	0.867	0.913	0.887	0.863	0.963
glass0	0.832	0.781	0.839	0.809	0.771	0.906
glass1	0.772	0.721	0.786	0.804	0.658	0.913
glass6	0.909	0.861	0.914	0.893	0.847	0.981
haberman	0.502	0.346	0.569	0.411	0.303	0.836
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.957	0.934	0.959	0.942	0.929	0.989
newthyroid2	0.937	0.902	0.94	0.923	0.9	0.981
page-blocks0	0.921	0.871	0.923	0.883	0.86	0.987
pima	0.711	0.635	0.722	0.678	0.599	0.846
segment0	0.984	0.976	0.984	0.982	0.971	0.997
vehicle0	0.947	0.914	0.948	0.904	0.927	0.968
vehicle1	0.645	0.527	0.681	0.609	0.47	0.891
vehicle2	0.967	0.952	0.968	0.953	0.952	0.983
vehicle3	0.621	0.503	0.671	0.626	0.426	0.915
wisconsin	0.965	0.952	0.965	0.945	0.96	0.97
yeast1	0.655	0.548	0.685	0.628	0.489	0.881
yeast3	0.876	0.771	0.881	0.752	0.795	0.967
