	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.852	0.772	0.857	0.768	0.787	0.927
ecoli2	0.853	0.786	0.866	0.839	0.759	0.974
ecoli3	0.734	0.605	0.767	0.675	0.571	0.963
glass-0-1-2-3_vs_4-5-6	0.913	0.874	0.917	0.888	0.871	0.963
glass0	0.833	0.781	0.837	0.799	0.771	0.903
glass1	0.758	0.699	0.77	0.754	0.66	0.88
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.499	0.339	0.561	0.377	0.316	0.807
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.915	0.949	0.921	0.914	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.926	0.873	0.928	0.877	0.869	0.986
pima	0.723	0.651	0.734	0.7	0.614	0.854
segment0	0.985	0.978	0.985	0.983	0.973	0.997
vehicle0	0.941	0.91	0.942	0.909	0.914	0.97
vehicle1	0.647	0.525	0.679	0.591	0.477	0.881
vehicle2	0.96	0.939	0.96	0.937	0.943	0.978
vehicle3	0.631	0.517	0.677	0.644	0.436	0.918
wisconsin	0.958	0.944	0.958	0.939	0.95	0.966
yeast1	0.668	0.562	0.693	0.628	0.51	0.875
yeast3	0.863	0.764	0.87	0.762	0.77	0.97
