	geometric_mean_score	f1_score	balanced_accuracy_score	precision_score	recall_score	specificity_score
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.844	0.769	0.851	0.783	0.768	0.934
ecoli2	0.838	0.763	0.855	0.821	0.739	0.97
ecoli3	0.723	0.581	0.758	0.64	0.557	0.958
glass-0-1-2-3_vs_4-5-6	0.919	0.879	0.921	0.882	0.882	0.96
glass0	0.826	0.771	0.83	0.785	0.764	0.896
glass1	0.729	0.663	0.747	0.736	0.614	0.881
glass6	0.921	0.844	0.924	0.822	0.88	0.968
haberman	0.49	0.332	0.561	0.375	0.304	0.818
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.947	0.915	0.949	0.921	0.914	0.983
newthyroid2	0.913	0.871	0.917	0.912	0.857	0.978
page-blocks0	0.925	0.872	0.927	0.877	0.868	0.986
pima	0.723	0.651	0.733	0.694	0.616	0.851
segment0	0.985	0.978	0.986	0.983	0.974	0.997
vehicle0	0.942	0.909	0.943	0.904	0.917	0.968
vehicle1	0.632	0.506	0.668	0.575	0.456	0.881
vehicle2	0.963	0.943	0.963	0.939	0.947	0.979
vehicle3	0.626	0.511	0.673	0.64	0.429	0.917
wisconsin	0.958	0.944	0.958	0.939	0.95	0.966
yeast1	0.663	0.554	0.688	0.614	0.507	0.869
yeast3	0.868	0.769	0.875	0.764	0.78	0.97
