	G-mean	F1	BAC	Precision	Recall	Specificity
ecoli-0_vs_1	0.987	0.993	0.987	0.987	1.0	0.975
ecoli1	0.842	0.767	0.848	0.778	0.761	0.934
ecoli2	0.843	0.788	0.859	0.87	0.738	0.981
ecoli3	0.688	0.555	0.739	0.627	0.514	0.963
glass-0-1-2-3_vs_4-5-6	0.896	0.851	0.9	0.868	0.844	0.957
glass0	0.848	0.8	0.851	0.815	0.793	0.91
glass1	0.755	0.694	0.767	0.755	0.653	0.881
glass6	0.923	0.858	0.926	0.854	0.88	0.973
haberman	0.493	0.335	0.561	0.406	0.296	0.827
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.932	0.899	0.935	0.916	0.886	0.983
newthyroid2	0.905	0.862	0.91	0.912	0.843	0.978
page-blocks0	0.922	0.871	0.924	0.883	0.861	0.987
pima	0.72	0.645	0.729	0.673	0.623	0.835
segment0	0.983	0.975	0.983	0.982	0.969	0.997
vehicle0	0.95	0.919	0.951	0.908	0.932	0.97
vehicle1	0.643	0.52	0.676	0.585	0.473	0.879
vehicle2	0.965	0.948	0.965	0.95	0.947	0.982
vehicle3	0.636	0.525	0.682	0.658	0.443	0.92
wisconsin	0.96	0.947	0.96	0.945	0.95	0.97
yeast1	0.66	0.553	0.688	0.63	0.496	0.88
yeast3	0.87	0.772	0.876	0.766	0.782	0.97
