	G-mean	F1	BAC	Precision	Recall	Specificity
ecoli-0_vs_1	0.985	0.991	0.986	0.987	0.997	0.975
ecoli1	0.839	0.759	0.845	0.766	0.761	0.929
ecoli2	0.856	0.803	0.869	0.874	0.758	0.981
ecoli3	0.692	0.553	0.739	0.632	0.514	0.963
glass-0-1-2-3_vs_4-5-6	0.903	0.86	0.906	0.878	0.853	0.96
glass0	0.853	0.806	0.857	0.816	0.807	0.907
glass1	0.762	0.707	0.778	0.796	0.646	0.91
glass6	0.923	0.858	0.926	0.854	0.88	0.973
haberman	0.525	0.372	0.584	0.435	0.334	0.833
iris0	1.0	1.0	1.0	1.0	1.0	1.0
new-thyroid1	0.948	0.924	0.952	0.939	0.914	0.989
newthyroid2	0.946	0.914	0.949	0.929	0.914	0.983
page-blocks0	0.923	0.873	0.925	0.883	0.863	0.987
pima	0.709	0.633	0.722	0.681	0.595	0.848
segment0	0.983	0.975	0.983	0.982	0.969	0.997
vehicle0	0.948	0.912	0.949	0.895	0.932	0.965
vehicle1	0.653	0.537	0.687	0.62	0.477	0.896
vehicle2	0.966	0.951	0.966	0.952	0.95	0.983
vehicle3	0.617	0.501	0.669	0.637	0.417	0.92
wisconsin	0.963	0.95	0.963	0.943	0.958	0.968
yeast1	0.66	0.556	0.689	0.64	0.493	0.886
yeast3	0.875	0.773	0.88	0.76	0.792	0.969
